DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2001-03-25,1081.82,1083.0,1082.0,1082.6,110870
2001-03-26,1082.98,1086.0,1081.0,1081.82,96613
2001-03-27,1080.66,1083.0,1081.0,1080.66,166600
2001-03-28,1082.6,1102.0,1081.0,1101.54,80676
2001-03-31,1098.06,1101.0,1083.0,1097.29,177362
2001-04-03,1098.06,1110.0,1097.0,1108.89,55562
2001-04-07,1108.89,1133.0,1109.0,1121.26,122642
2001-04-08,1128.99,1168.0,1122.0,1161.47,299359
2001-04-09,1170.75,1214.0,1168.0,1199.36,434320
2001-04-10,1219.85,1221.0,1187.0,1190.86,592395
2001-04-11,1191.63,1199.0,1187.0,1190.86,604953
2001-04-14,1192.4,1202.0,1191.0,1195.5,434057
2001-04-15,1195.88,1197.0,1179.0,1182.74,229777
2001-04-16,1182.35,1186.0,1171.0,1186.22,268061
2001-04-17,1186.22,1199.0,1185.0,1189.7,386136
2001-04-18,1190.47,1199.0,1188.0,1190.47,534555
2001-04-21,1190.47,1199.0,1190.0,1193.56,2129585
2001-04-22,1195.11,1199.0,1179.0,1192.4,1014348
2001-04-23,1193.18,1198.0,1193.0,1194.72,495008
2001-04-24,1194.34,1210.0,1194.0,1210.19,705864
2001-04-25,1238.03,1271.0,1210.0,1270.5,94443
2001-04-28,1333.91,1334.0,1299.0,1333.91,962280
2001-04-29,1333.91,1396.0,1330.0,1360.98,651640
2001-04-30,1372.58,1388.0,1361.0,1365.23,515842
2001-05-01,1372.19,1376.0,1354.0,1367.16,415255
2001-05-02,1364.84,1365.0,1322.0,1322.31,307281
2001-05-05,1318.83,1322.0,1303.0,1317.67,470082
2001-05-06,1326.18,1342.0,1318.0,1335.85,670450
2001-05-07,1335.85,1388.0,1336.0,1388.04,525826
2001-05-08,1388.04,1411.0,1355.0,1391.14,642528
2001-05-09,1389.98,1392.0,1378.0,1382.63,290450
2001-05-12,1383.02,1384.0,1354.0,1360.59,180715
2001-05-13,1357.11,1361.0,1334.0,1359.82,367043
2001-05-15,1359.82,1360.0,1353.0,1354.41,283850
2001-05-16,1354.41,1357.0,1349.0,1353.25,339597
2001-05-19,1353.25,1359.0,1330.0,1348.61,1145576
2001-05-20,1348.61,1349.0,1320.0,1331.98,480474
2001-05-21,1332.37,1332.0,1319.0,1320.38,389722
2001-05-23,1322.31,1346.0,1322.0,1341.65,372608
2001-05-26,1345.51,1361.0,1346.0,1353.63,396099
2001-05-27,1360.98,1404.0,1356.0,1400.42,512473
2001-05-28,1403.51,1411.0,1373.0,1379.92,272305
2001-05-29,1376.44,1376.0,1352.0,1353.25,394759
2001-05-30,1356.72,1372.0,1353.0,1364.84,331146
2001-06-02,1364.84,1373.0,1349.0,1352.86,507965
2001-06-03,1352.47,1353.0,1342.0,1353.25,270617
2001-06-06,1352.47,1355.0,1346.0,1354.79,302522
2001-06-09,1368.71,1380.0,1355.0,1377.99,356390
2001-06-11,1380.31,1400.0,1380.0,1391.91,768864
2001-06-12,1391.91,1395.0,1374.0,1384.95,546106
2001-06-13,1383.79,1384.0,881.0,1375.28,649121
2001-06-16,1372.58,1373.0,1355.0,1355.95,366728
2001-06-17,1355.18,1355.0,1344.0,1351.7,547261
2001-06-18,1346.29,1357.0,1342.0,1357.11,491032
2001-06-19,1357.11,1373.0,1357.0,1368.71,951258
2001-06-20,1364.84,1388.0,1355.0,1384.18,596395
2001-06-23,1384.18,1391.0,1365.0,1368.71,440805
2001-06-24,1368.71,1376.0,1365.0,1368.71,580158
2001-06-25,1368.71,1373.0,1362.0,1368.71,488441
2001-06-26,1368.32,1369.0,1357.0,1361.75,2633144
2001-06-27,1361.75,1362.0,1356.0,1357.11,627807
2001-06-30,1357.11,1357.0,1346.0,1351.7,726317
2001-07-01,1351.31,1353.0,1342.0,1353.25,1012598
2001-07-02,1347.83,1349.0,1338.0,1341.65,630221
2001-07-03,1340.49,1342.0,1324.0,1330.82,1082782
2001-07-04,1330.05,1330.0,1322.0,1330.05,943588
2001-07-07,1324.63,1330.0,1322.0,1322.31,873633
2001-07-08,1322.31,1334.0,1322.0,1333.91,873256
2001-07-09,1333.53,1361.0,1334.0,1357.5,1121110
2001-07-10,1366.78,1373.0,1349.0,1357.11,1488212
2001-07-11,1357.11,1369.0,1356.0,1360.59,1030379
2001-07-14,1363.3,1368.0,1355.0,1357.11,1612780
2001-07-15,1357.11,1359.0,1349.0,1352.86,5837457
2001-07-16,1351.7,1369.0,1348.0,1365.23,4178513
2001-08-14,1322.31,1334.0,1257.0,1273.98,1045135
2001-08-15,1274.76,1301.0,1274.0,1291.38,1522950
2001-08-18,1301.05,1315.0,1295.0,1314.58,2020509
2001-08-19,1310.71,1315.0,1302.0,1302.98,1008851
2001-08-20,1295.25,1295.0,1257.0,1257.36,632935
2001-08-21,1256.97,1257.0,1230.0,1252.72,691479
2001-08-22,1252.72,1261.0,1233.0,1248.85,556096
2001-08-25,1248.85,1280.0,1247.0,1247.69,444376
2001-08-26,1244.99,1250.0,1233.0,1233.77,380933
2001-08-27,1233.77,1234.0,1200.0,1199.75,458272
2001-08-28,1202.45,1223.0,1202.0,1218.31,530458
2001-08-29,1217.92,1219.0,1199.0,1214.05,542600
2001-09-01,1208.25,1214.0,1191.0,1193.18,376749
2001-09-02,1188.54,1194.0,1173.0,1179.26,386757
2001-09-03,1175.39,1175.0,1156.0,1159.92,726518
2001-09-04,1159.92,1180.0,1141.0,1179.26,493069
2001-09-05,1198.2,1199.0,1179.0,1198.59,532611
2001-09-08,1213.67,1226.0,1199.0,1225.65,457882
2001-09-09,1237.25,1249.0,1214.0,1237.25,551484
2001-09-10,1236.48,1236.0,1199.0,1202.45,190500
2001-09-11,1202.45,1214.0,1191.0,1202.45,268651
2001-09-12,1198.59,1201.0,1158.0,1198.59,678947
2001-09-15,1183.12,1184.0,1158.0,1173.46,696351
2001-09-16,1159.92,1164.0,1137.0,1159.15,820593
2001-09-17,1140.59,1160.0,1102.0,1120.1,2041756
2001-09-18,1106.18,1125.0,1090.0,1122.81,920719
2001-09-19,1158.38,1179.0,1124.0,1178.87,1475872
2001-09-22,1178.87,1233.0,1179.0,1222.56,1288852
2001-09-23,1223.72,1238.0,1206.0,1217.53,757019
2001-09-24,1215.99,1216.0,1182.0,1191.63,363674
2001-09-25,1179.26,1196.0,1164.0,1184.28,446425
2001-09-26,1183.12,1187.0,1172.0,1186.6,810289
2001-09-29,1183.12,1183.0,1161.0,1161.86,516618
2001-09-30,1162.63,1191.0,1160.0,1186.99,696590
2001-10-02,1198.59,1199.0,1175.0,1183.12,455326
2001-10-03,1176.16,1186.0,1172.0,1179.26,801803
2001-10-06,1179.26,1186.0,1174.0,1179.26,840036
2001-10-07,1178.48,1179.0,1168.0,1177.71,534078
2001-10-08,1171.52,1172.0,1159.0,1163.4,593457
2001-10-09,1157.99,1160.0,1141.0,1140.59,452746
2001-10-10,1121.26,1136.0,1102.0,1120.49,729946
2001-10-13,1118.55,1160.0,1119.0,1139.05,601958
2001-10-14,1140.59,1164.0,1141.0,1158.38,727266
2001-10-16,1159.92,1179.0,1160.0,1175.39,613438
2001-10-17,1190.86,1199.0,1179.0,1183.12,756840
2001-10-20,1179.26,1206.0,1179.0,1201.68,908566
2001-10-21,1217.92,1222.0,1207.0,1217.15,573919
2001-10-22,1217.53,1237.0,1218.0,1233.0,841192
2001-10-23,1237.25,1237.0,1218.0,1223.33,1868957
2001-10-24,1222.95,1223.0,1206.0,1217.53,363301
2001-10-27,1214.05,1214.0,1195.0,1198.59,462358
2001-10-28,1190.86,1197.0,1179.0,1186.99,386915
2001-10-29,1183.12,1205.0,1183.0,1198.59,380856
2001-10-30,1198.59,1199.0,1191.0,1195.11,305326
2001-10-31,1194.72,1220.0,1195.0,1217.92,498444
2001-11-03,1227.59,1228.0,1218.0,1217.92,429170
2001-11-04,1217.92,1223.0,1218.0,1217.92,456071
2001-11-05,1217.92,1222.0,1218.0,1220.24,617955
2001-11-06,1223.72,1233.0,1220.0,1221.79,456083
2001-11-07,1221.01,1221.0,1214.0,1217.92,487912
2001-11-10,1218.31,1218.0,1199.0,1198.59,278205
2001-11-11,1198.59,1199.0,1179.0,1190.08,449039
